*** New Session***
30/10/2017 14:58:38
Product Name: hr sensor
1143206406 : Tx: [00][FF][FF][FF][88][5A][68][48]
1143206656 : Tx: [80][FF][FF][FF][88][5A][68][48]
1143206906 : Tx: [80][FF][FF][FF][88][5A][68][48]
1143207140 : Tx: [80][FF][FF][FF][88][5A][68][48]
1143207390 : Tx: [80][FF][FF][FF][DD][5D][69][48]
1143207640 : Tx: [00][FF][FF][FF][DD][5D][69][48]
1143207890 : Tx: [00][FF][FF][FF][DD][5D][69][48]
1143208125 : Tx: [00][FF][FF][FF][32][61][6A][48]
1143208375 : Tx: [00][FF][FF][FF][32][61][6A][48]
1143208625 : Tx: [80][FF][FF][FF][32][61][6A][48]
1143208875 : Tx: [80][FF][FF][FF][87][64][6B][48]
1143209109 : Tx: [80][FF][FF][FF][87][64][6B][48]
1143209359 : Tx: [80][FF][FF][FF][87][64][6B][48]
1143209609 : Tx: [00][FF][FF][FF][87][64][6B][48]
1143209859 : Tx: [00][FF][FF][FF][DC][67][6C][48]
1143210093 : Tx: [00][FF][FF][FF][DC][67][6C][48]
1143210343 : Tx: [00][FF][FF][FF][DC][67][6C][48]
1143210593 : Tx: [80][FF][FF][FF][31][6B][6D][48]
1143210843 : Tx: [80][FF][FF][FF][31][6B][6D][48]
1143211093 : Tx: [80][FF][FF][FF][31][6B][6D][48]
1143211328 : Tx: [80][FF][FF][FF][31][6B][6D][48]
1143211578 : Tx: [00][FF][FF][FF][86][6E][6E][48]
1143211828 : Tx: [00][FF][FF][FF][86][6E][6E][48]
1143212062 : Tx: [00][FF][FF][FF][86][6E][6E][48]
1143212312 : Tx: [00][FF][FF][FF][DB][71][6F][48]
1143212562 : Tx: [80][FF][FF][FF][DB][71][6F][48]
1143212812 : Tx: [80][FF][FF][FF][DB][71][6F][48]
1143213062 : Tx: [80][FF][FF][FF][30][75][70][48]
1143213296 : Tx: [80][FF][FF][FF][30][75][70][48]
1143213546 : Tx: [00][FF][FF][FF][30][75][70][48]
1143213796 : Tx: [00][FF][FF][FF][30][75][70][48]
