#grade:multiplier,additional
-2.2:7.2473916484,-54.4736461506
-2.2:7.06481549168,-50.7770722228
-2.5:7.663245851,-77.9771660033
-1.9:7.58653238952,-60.9312659153
-1.9:9.09993215329,-108.663511836
-0.7:10.1501942564,-117.287622639
0.5:10.8984651461,-112.890378135
1.7:11.2006116248,-96.912998478
2.3:11.7749669128,-96.6855794126
4.1:14.8070800344,-160.488726184
5.3:14.4749670279,-117.592210552
6.5:17.2157706928,-180.237148761
7.1:16.5408990578,-144.621969741
7.4:17.3557980686,-163.011468688
